Intent	Sentence
codice_cartapiu	Codice carta più
info_ingredienti_allergeni	Posso avere informazioni sugli ingredienti o sugli allergeni?
consulto_medico	ho la nausea
ricerca_prodotti	Prodotti igiene personale
coupon_omaggio	Coupon
disponibilita_prodotti	Dove posso vedere se un prodotto è disponibile o meno?
prodotti_non_disponibili	Nel precedente ordine ho pagato 1 euro in più del costo effettivo
prodotto_sbagliato	Ho ordinato un prodotto diverso da quello spedito
sconti_non_applicati	non mi ha inserito lo sconto
tracking	sarei interessato a tracciare il mio ordine
ricetta	Vorrei chiedervi una ricetta
cancellazione_newsletter	é possibile essere cancellato dalla newsletter?
consulto_medico	Ho l'encefalite giapponese che faccio?
password_dimenticata	Ho fatto password dimenticata ma all'email indicata non mi arriva il messaggio per poterla modificare
device_diversi_sincronizzati	Le operazioni che effetto su più device mi compaiono automaticamente ?
ecommerce	uwell vende farmaci?
errore_apertura_pagina	Vorrei accedere alla pagina di conferma email ma non riesco
fare_spesa	Vorrei avere più informazioni su come funziona
citta_consegna	In quali città è attivo il vostro servizio?
info_negozi	vorrei sapere qual'è il vostro punto vendita più vicino a
complimenti	che bella questa app
info_registrazione_azienda	sono un'azienda come mi registro?
promozioni	le promozioni non sono le stesse
promozioni	Non trovo le promozioni del volantino
device_diversi_sincronizzati	Mi sai dire se è possibile utilizzare device diversi?
stile_di_vita	stile di vita di una persona e info prodotti ?
consulto_medico	 il mio problema è l’incontinenza da urgenza che avviene anche di notte
consegna_costo	Info costi consegna a casa
pagina_personale	i miei ordini
lista_preferiti	Posso salvare una lista di prodotti preferiti?
accesso_limitato	quando clicco su un prodotto mi dice accesso limitato
errore_codice_fiscale	Il codice fiscale mi dà problemi
contatti	Dove trovo i vostri contatti?
annullare_ordine	voglio cancellare degli ordini prima di pagare
addebito_bancario_spesa	Due email di addebito due addebiti?
email_conferma_registrazione	Chiedo email di conferma della spesa
errore_codice_fiscale	non riesco ad aggiungere il codice fiscale
info_newsletter	Ho bisogno di iscrivermi alla newsletter
uso_improprio_email	la mia email è stata usata in modo improprio
problema_sito	Il sito è fatto malissimo
prodotto_scaduto	Il mio prodotto è scaduto
errore_conclusione_ordine	Ho provato a fare la spesa, il sistema si è bloccato e l'ordine non è andato a buon fine
cancellare_registrazione	Posso cancellare la mia registrazione?
citta_consegna	a gorizia c'è la consegna a casa
errore_pagamento	sto riscontrando dei problemi con il pagamento
tracking	Ho fatto un ordine ieri sera che dovrebbe essere in consegna stamattina dalle
consegna_quantita	Quali sono le quantità massime che posso acquistare?
carrello_spesa	Come faccio a vedere tutti i prodotti del carrello?
contenuti_blog	contenuti blog
ricerca_prodotti	Beltè nero
accesso_limitato	Scritta accesso limitato che faccio?
problema_sito	non riesco a entrare nel sito
insoddisfazione_ordine	Non sono soddisfatto dell'ordine che faccio?
visita_supermercato	È possibile visitare il supermercato prima di effettuare la registrazione?
email_modifica	Devo comunicare una nuova email che faccio?
registrazione_senza_carta	Come posso inserire numero tessera avendo già fatto la registrazione?
tracking	Vorrei tracciare il mio ordine?
problema_consegna	Consegna spesa ritardo
info_registrazione_azienda	Sono un'azienda come faccio a registrarmi?
ricerca_prodotti	Gel mani fresh and clean
controindicazioni	dove trovo il bugiardino dei farmaci?
annullare_ordine	come annullo l'ordine?
cambiare_orario_consegna	Vorrei posticipare la consegna a domani
ricerca_prodotti	Cotolette valsoia
sconti_non_applicati	Lo sconto non è applicato al prodotto
uso_improprio_email	Non vi ho mai dato il consenso per memorizzare i miei dati
consegna_a_domicilio	servizio di consegna a domicilio
lista_farmaci_consegna_a_domicilio	Lista farmaci disponibili?
uso_improprio_email	Non vi ho mai dato il consenso per utilizzare i miei dati
consulto_medico	Come posso smettere di mangiare le mie unghie?
info_negozi	info store
info_per_farmacie	Vorrei essere ricontattato, sono il proprietario di una farmacia
collaborazioni	A chi posso inviare il mio cv?
fasce_orarie_consegna_a_casa	Spesa a casa info fasce orarie
farmacia_preferita	Sai dirmi come posso inserire la farmacia come preferita?
citta_consegna	A calcio non fanno la spesa online?
info_registrazione	Info registrazioni
modalita_pagamento	Si può pagare in contanti alla consegna?
device_diversi_sincronizzati	Posso utilizzare contemporaneamente il programma su due device?
info_malattie	Dove posso fare profilassi contro il tetano?
estensione_geografica	Mi dici se sarà possibile utilizzare il servizio anche nelle altre città dove al momento non è disponibile?
complimenti	woow che app
registrazione_senza_email	Vorrei sapere se è possibile effettuare la registrazione senza l'email
errore_password	Non mi riconosce mai come utente
info_vetrina	Posso vedere l'assortimento dei prodotti nella vetrina?
info_malattie	vorrei avere informazioni sul tifo
orari_negozi	domenica lo store è chiuso o aperto?
errore_chiusura	Ho problemi di chiusura dell'applicazione
no_farmacia_intorno_a_me	come mai non vedo nessuna farmacia vicino a me?
promozioni	Mi serve poter sfogliare il volantino crai
pagina_personale	Dove posso consultare lo storico degli ordini fatti?
orari_negozi	quando aprite?
prodotto_irreperibile	Non trovo i prodotti desiderati
registrazione_utenti	Come faccio a iniziare
reso_prodotti	reso
utente_bloccato	Mio figlio ha compiuto 18 anni ma è stato bloccato dal sistema
info_negozi	Qual è il vostro punto vendita più vicino a
iniziative_commerciali	Come vi contattiamo per delle iniziative commerciali?
errore_credenziali	credenziali sbagliate
fare_spesa	fare la spesa online
privacy	Come è protetta la mia privacy?
errore_conclusione_ordine	Avevo nel carrello ca 60 prodotti per un ammontare di 278€ e al momento del pagamento è sparito tutto
ordine_effettuare	Come posso effettuare un ordine?
contatti	Come contattare il negozio
info_newsletter	Vorrei iscrivermi alla vostra newsletter come faccio?
uso_improprio_email	Avete memorizzato i miei dati ma non vi ho mai dato il consenso
reso_prodotti	Rimborso
new_covid_19	Effetti coronavirus
problema_sito	Non vedo l'opzione aggiungi nel carrello
carrello_spesa	Dove trovo il carrello della spesa?
lista_preferiti	Lista dei miei prodotti preferiti?
tracking	Posso seguire il tracking del mio ordine?
problema_consegna	Ho un problema con la spedizione
reso_consegna_domicilio	come posso restituire un prodotto?
citta_consegna	A castelfranco veneto fanno la consegna a domicilio?
consulto_medico	Chi posso contattare per sapere il farmaco da prendere ?
consegna_premi	Premi catalogo con la spesa come li ricevo?
errore_aggiunta_carrello	Non aggiunge nulla al mio carrello
device_diversi_sincronizzati	Posso utilizzare due device per lo stesso programma?
ricetta	Vorrei delle ricette
rimozione_dati	Non mi sono iscritta alla piattaforma ma vedo i miei dati inseriti ?
importo_pagato_diverso	Ho pagato un importo differente
lista_farmaci_consegna_a_domicilio	Non ho pannolini fate consegna a domicilio?
orari_negozi	a che ora chiude il mio punto vendita di bergamo?
lista_farmaci_consegna_a_domicilio	Consegnate tutti i tipi di farmaco?
problema_sito	Non è possibile inserire il campo Paese nel form di registrazione
consegna_spesa	Vorrei sapere come funziona la consegna
cancellazione_account	Cancellazione dal vostro portale
cosa_cucino	Vorrei avere dei consigli su cosa cucinare
problema_sito	ho un problema col caricamento della pagina
email_conferma_registrazione	Email conferma registrazione non ricevuta
errore_password	Mi dice che la password è errata
esito_ordine	Non capisco l'esito del mio ordine
modifica_ordine	come cancellare un prodotto dall'elenco del carrello
consegna_piano	posso ricevere la spesa al piano del mio appartamento?
errore_generico_app	L'applicazione continua a non funzionare in maniera corretta
info_ingredienti_allergeni	Vorrei avere delle informazioni sugli allergeni
catalogo_premi	catalogo punti 2019
codice_fiscale	Dove posso inserire il codice fiscale
info_ingredienti_allergeni	Info su ingredienti
ricerca_prodotti	Anticalcare
tipologie_ordine	Volevo sapere cosa si intendesse per tipo di ordine
fare_spesa	come fare la spesa con crai spesa online
errore_password	sto tentando di reinserire una nuova password con le indicazioni corrette ma cliccando conferma non prosegue la schermata
utente_bloccato	Mio figlio è appena diventato maggiorenne ma lo ha bloccato
consegna_a_domicilio	come funziona il servizio di consegna a domicilio?
orari_negozi	in che orari posso ritirare i prodotti al negozio ?
fasce_orarie_consegna_a_casa	Quali sono i tempi di consegna
errore_conclusione_ordine	Non mi fa completare l'ordine nonostante superi i 30 euro di spesa
hr	lavorare con voi
registrazione_utenti	non trovo il pulsante registrati
limite_minimo	Bisogna fare un minimo di ordine per ricevere la spesa, o si può acquistare quanto si vuole?
modifica_password	vorrei modificare la password?
fasce_orarie_consegna_a_casa	Quali sono le fasce orarie in cui è possibile usufruire del servizio di consegna a casa?
modifica_preferiti	Mi sono iscritta ma non riesco a salvare i dati della mia farmacia
consegna_quantita	spesa online e consegna a casa vi sono limiti di peso?
annullare_ordine	cancellare ordine fatto
problema_sito	Non fuziona nulla, non riesco neanche ad ordinare la spesa da ritirare in negozio!
nome_utente	Non mi ricordo più il nome utente usato in fase di registrazione
reso_prodotti	I prodotti puzzavano di marcio
vaccini_viaggi	Quali sono i vaccini obbligatori
cancellazione_newsletter	Mi potete cancellare dalla newsletter?
tipologie_ordine	Vorrei sapere le varie tipologie di ordine
fasce_orarie_consegna_a_casa	Limiti di orario?
hr	Lavora con noi
registrazione_utenti	Come faccio ad utilizzare il vostro servizio?
fasce_orarie_consegna_a_casa	In quali fasce orarie posso ricevere i miei prodotti?
orari_negozi	Apertura Catania
lista_preferiti	Vorrei salvare i miei prodotti preferiti
addebito_bancario_spesa	Conferma che l'ordine è riuscito
errore_apertura_pagina	Non riesco ad entrare sulla pagina per il cambio dell'email
fattura_elettronica	Richiesta fattura elettronica
errore_conclusione_ordine	Non riesco a trovare il mio ordine
consulto_medico	tipo di farmaci
errore_registrazione_app	Ho problemi con la registrazione
collaborazioni	Mi dici come posso collaborare con voi?
errore_apertura_pagina	ho problemi ad accedere alla pagina di conferma dell'email
fasce_orarie_consegna_a_casa	Posso riceverla a casa?
tracking	Voglio tracciare il mio ordine
modalita_pagamento	Quali metodi di pagamento devo usare?
errore_registrazione_app	Come inserisco la data di nascita
codice_sconto	buono scontro di 20 euro
reso_prodotti	Ho comprato i pomodori ma sono scaduti
cambiare_orario_consegna	Ho avuto un contrattempo come faccio a modificare l'orario di consegna?
carta_fedelta_inserimento	Carta fedeltà dove la inserisco?
no_farmacia_intorno_a_me	Non ho farmacie intorno a me
quando_punti	punti spesa entro quando?
collaborazioni	vi scrivo perchè sarei molto interessata a collaborare con la vostra redazione come autore di articoli scientifici. potete indicarmi l'indirizzo a cui è possibile inviare un cv per candidatura?
provenienza_spesa	Da dove arriva la mia spesa?
tracking	tracciamento
problema_consegna	Volevo sapere se ci sono problemi di consegna, in quanto non ho ancora ricevuto nulla
provenienza_spesa	Spesa supermercato di provenienza?
profilo_salute	come si crea il profilo salute?
consegna_a_domicilio	Ordine di un prodotto 
info_negozi	informazioni su caronno
problema_sito	Non funziona la registrazione al sito
agenda_bloccata	problema accesso agenda
lista_farmaci_consegna_a_domicilio	Dove posso acquistare i farmaci di cui ho bisogno?
no_farmacia_intorno_a_me	Non riesco a vedere nessuna farmacia intorno a me
password_dimenticata	Come faccio se non ricordo la password?
consegna_quantita	limiti di peso per la spesa online?
volantino	Vorrei vedere il volantino
errore_conclusione_ordine	Non riesco ad inviare il mio ordine
reso_prodotti	Nell'ordine mancava un articolo
visita_supermercato	Registrazione dopo visita al supermercato?
lista_farmaci_consegna_a_domicilio	Mi dici quali farmaci posso acquistare e quali no?
stile_di_vita	esistono dei prodotti che siano adatti a un particolare stile di vita?
citta_consegna	I negozi che fanno consegna in che raggio di consegna operando?
password_dimenticata	Password dimenticata
modifica_email	Voglio cambiare l'email
info_negozi	ciao mi dai le info del negozio?
senza_glutine	gluten free
ecommerce	si tratta di e-commerce?
cancellazione_account	come faccio a disiscrivermi
modifica_password	Come faccio a modificare la password ?
orari_negozi	vorrei sapere gli orari di segrate
acquisto_senza_carta_piu	Se faccio la spesa senza carta fedeltà?
problema_accesso_app	Ho problemi di accesso all'app. Mi aiuti?
prezzo_prodotti	Avrei bisogno di sapere il prezzo di un prodotto
volantino	Dove trovo il volantino sul sito?
nome_utente	Ho dimenticato la mia username
cambiare_orario_consegna	Vorrei cambiare la consegna a domani
errore_conclusione_ordine	Ho concluso l'ordine ma c'è stato un errore
citta_consegna	A Conegliano mi dà che fanno spesa a domicilio ma non lo trovo tra le opzioni
ricetta	Vorrei chiedere una ricetta
info_per_farmacie	Inserimento farmacia
annullare_ordine	Posso annullare un ordine?
errore_aggiunta_carrello	Mi dice inserito e poi lo toglie
prodotto_sbagliato	Mi è stato mandato un prodotto diverso da quello che ho ordinato
modifica_ordine	Vorrei che i prodotti non disponibili siano modificati con altri alternativi
prodotti_non_disponibili	non mi hanno consegnato alcuni prodotti 
utente_bloccato	Mi dice utente non valido
problema_consegna	La spesa non è arrivata
scontrino_fiscale	lo scontrino mi arriva lo stesso?
errore_aggiunta_carrello	i prodotti non vengono aggiunti al carrello
ricerca_prodotti	Vorrei acquistare del té
problema_accesso_app	Ho problemi con l'accesso all'app mi aiutate?
info_negozi	Negozi più vicini
errore_apertura_pagina	Mi aiuti ad accedere alla pagina di conferma email?
codice_fiscale	codice fiscale
problema_sito	Non compare neppure il numero di selezionamento quantità
utente_bloccato	Mi ha bloccato dicendo che non posso inserire come data di nascita 1987
utente_bloccato	Stavo registrando un membro ma non riesco perchè mi compare con un lucchetto sopra
modifica_ordine	Ho bisogno di aggiungere dei prodotti alla spesa
problema_sito	Sto facendo la spesa online ma dopo il 7 prodotto non me carica altri
problema_sito	Quando seleziono un prodotto non compare la scelta del numero
errore_chiusura	Ho problemi di chiusura della pagina per l'aggiornamento della mia farmacia
modifica_ordine	come modifico l'ordine?
complimenti	amazing
unita_peso	Perché posso acquistare soltanto unità di peso predefinite (100g, 200g…)?
cambiare_orario_consegna	la consegna a domicilio oggi è disponibile solo dalle 17 alle 18 e io non sono reperibile
contatti	Qual è il numero verde assistenza
fattura_elettronica	Fatturazione elettronica
scontrino_fiscale	devo comunque avere lo scontrino fiscale?
visita_supermercato	Posso visitare il supermercato e poi registrarmi?
sei_un_robot	sei umano?
prezzo_prodotti	C'è un'area per scoprire il prezzo di un prodotto?
scaricare_app	come scarico l'app
area_non_coperta	Mi posso registrare se nella mia zona non posso usufruire del servizio ?
familiari	Mi sai dire se posso inserire anche mio marito tra i familiari?
consulto_medico	ho la febbre gialla
errore_codice_segreto	Perchè mi dice errore di inserimento del codice segreto?
ordine_effettuare	Vorrei effettuare l'ordine ma non so come si fa ?
errore_aggiunta_familiare	errore aggiunta familiare a lista
ticket	Accettate i buoni day?
ticket	accettate ticket?
limite_minimo	Minimo di spesa da fare?
registrazione_senza_carta	è possibile registrarsi anche senza carta fedeltà?
sconti_non_applicati	Nell'ordine non vengono calcolati gli sconti previsti
problema_consegna	non ho ricevuto la spesa nell'orario richiesto
farmacia_preferita	Ho problemi con l'inserimento della mia farmacia
scontrino_fiscale	é obbligatorio per la farmacia emettere lo scontrino fiscale?
errore_password	Mi dice che la password è errata
vaccini_viaggi	A chi mi posso rivolgere per vaccinarmi?
promemoria	Disattivare promemoria
email_conferma_registrazione	Non mi arrivata la email con la password
cancellazione_account	Vorrei eliminaste i miei dati
errore_password	Mi sono appena registrata ma mi dice che la password non è corretta
farmacia_preferita	Sto provando ad inserire le farmacia ma non me la memorizza 
prodotti_non_disponibili	Prodotti non più disponibili alla consegna
uso_improprio_email	perchè mi arrivano le vostre email
info_registrazione_azienda	Vorremmo registrarci come azienda
problema_accesso_app	mi dà errore di accesso
promozioni	Come scopro le promo attive ora?
modifica_ordine	devo togliere un acquisto
citta_consegna	Vorrei sapere quali sono le città che aderiscono al vostro servizio
info_per_farmacie	Vorrei aggiungere la mia farmacia
citta_consegna	Fate la consegna a milano?
tracking	Come posso tracciare la mia spesa?
info_ingredienti_allergeni	Info allergeni
annullare_ordine	voglio annullare quanto ho messo nel carrello
ricerca_prodotti	Nel punto vendita che ho selezionato non trovo le linguine
registrazione_utenti	Possono registrarsi al vostro portale anche i minorenni?
email_conferma_registrazione	email conferma
contatti	assistenza spesa
logout_carrello	Mi sono dimenticata di spedire l'ordine, posso recuperare il carrello?
operatore	richiamatemi
fare_spesa	Vai alla cassa
sconti_non_applicati	Per lo sconto di 20 Euro si può già fare l'ordine oggi con consegna domani ?
problema_sito	Non riesco a fare la spesa
modalita_pagamento	Quali carte?
limite_minimo	Esiste un limite di spesa?
cambiare_orario_consegna	Posso cambiare l'orario di consegna?
info_malattie	Ci sono controindicazioni alla vaccinazione contro la febbre gialla?
senza_glutine	Avete prodotti senza glutine?
consulto_medico	Come eliminare la pancia
ricerca_prodotti	I latterini al kg quanto costano
fare_spesa	Come posso fare per ordinare?
modalita_pagamento	Come si paga la merce consegnata?
errore_password	non mi fa entrare e mi dice che le credenziali sono sbagliate ,provo a cambiare la password ma non va. cosa devo fare?
vaccini_viaggi	Sto organizzando un viaggio
errore_registrazione_app	Non riesco a registrarmi
profilo_salute	dove trovo il link per creare un profilo salute?
logout_carrello	Come recupero il carrello?
errore_metodo_pagamento	Il metodo di pagamento non è tra i disponibili
consegna_a_domicilio	volevo sapere se il servizio di consegna è disponibile nella mia città
cancellazione_account	Mi potete cancellare i dati?
codice_sconto	Sconto prodotti
fare_spesa	Dove si può fare spesa online?
ricerca_prodotti	Prezzo del vino prosecco doc extra dry
esito_ordine	Sai dirmi se il mio ordine è andato in porto?
ordine_effettuare	Vorrei effettuare l'ordine info
errore_codice_segreto	Non riesco ad inserire il codice segreto
orari_negozi	Può ritirare la spesa un'altra persona?
problema_sito	Non trovo la spesa salvata
problema_sito	ho problemi col sito
problema_accesso_app	errore accesso
utente_bloccato	"Tra i membri in "" la mia famiglia"" l'utente ha un lucchetto rosso come mai?"
consegna_a_domicilio	vivo a milano c'è il servizio di consegna a domicilio?
email_modifica	Nuova email
scaricare_app	come posso scaricare l'app
info_registrazione	registrazione online
hr	Vorrei inviarvi il mio cv
problema_consegna	Ho effettuato un ordine che doveva essere consegnato entro le 18 odierne ma non è ancora arrivato nessuno
logout_carrello	logout senza aver terminato l'ordine?
fare_spesa	Come metto prodotti nel carrello?
cambiare_orario_consegna	Modifica orario consegna spesa.
senza_glutine	senza glutine
operatore	vorrei parlare con qualcuno
annullare_ordine	Come si fa ad annullare un ordine?
app	app
errore_conclusione_ordine	devo ultimare con l'acquisto, ma non mi arriva la conferma
consegna_costo	info consegna ?
prodotto_scaduto	Mi avete spedito prodotti scaduti
errore_conclusione_ordine	errore conclusione ordine
prodotti_non_disponibili	preparazione dell'ordine, che succede se i prodotti non sono disponibili?
prezzo_prodotti	Vorrei sapere qual è il prezzo di un prodotto
problema_configurazione_app	errore app
prodotto_scaduto	Il prodotto ricevuto è scaduto
carrello_spesa	Ho problemi col carrello della spesa
ricerca_prodotti	"Sto cercando il prodotto ""Beltè Nero"""
cancellare_registrazione	Vorrei cancellarmi ma non capisco come da sito
nome_utente	Non ricordo il nome utente
tracking	Come posso tracciare il mio ordine?
citta_consegna	sono a Ravenna, vorrei ordinare la spesa online, è possibile?
errore_registrazione_app	Non riesco proprio a registrarmi
cancellare_registrazione	Non voglio più ricevere email, come faccio a cancellare la mia registrazione?
prescrizione_medica	si possono ordinare farmaci con *prescrizione medica? / ricetta?
lista_farmaci_consegna_a_domicilio	lista farmaci per ordinare?
consulto_medico	consulto medico
consegna_a_domicilio	Abito a Rozzano posso usufruire del vostro servizio?
info_per_farmacie	vorremmo aderire al progetto
controindicazioni	Dove leggo le controindicazioni dei farmaci?
ticket	Ticket accettati?
consulto_medico	Chi posso contattare per un consulto medico?
registrazione_senza_email	è possibile registrarmi senza email?
ricerca_prodotti	Dove trovo il baccalà mantecato?
errore_schermata_indisponibile	Non riesco ad avere accesso alla schermata
promemoria	promemoria
modifica_ordine	ordine inoltrato posso modificarlo
fasce_orarie_consegna_a_casa	Orario consegne
modifica_ordine	Come posso modificare l'indirizzo di consegna?
iniziative_commerciali	Siamo interessati a delle proposte commerciali
registrazione_senza_carta	Non mi fa registrare non possiedo la carta crai
modifica_ordine	Modifiche indirizzo
collaborazioni	Vorrei inviare il mio cv
cosa_cucino	Cosa posso cucinare?
pagina_personale	Mi spieghi cos'è la pagina personale ?
orari_negozi	domani siete chiusi?
consegna_piano	Quando arriva il mio ordine
cancellare_registrazione	Voglio cancellarmi
fare_spesa	Bisogna registrarsi?
errore_registrazione_app	Ho problemi con la registrazione da app su ios
iniziative_commerciali	Vorremmo collaborare con voi
sconti_non_applicati	Perchè gli sconti non sono stati applicati?
privacy	Norme per la tutela della privacy?
info_vetrina	Vorrei vedere i prodotti in vetrina
errore_metodo_pagamento	Carta non abilitata al pagamento
consegna_spesa	indirizzi di consegna diversi
iniziative_commerciali	iniziative commerciali
accesso_limitato	compare scritta accesso limitato
esito_ordine	esito del mio ordine
consulto_medico	vorrei maggiori informazioni su enterogermina
logout_carrello	Mi puoi indicare passo passo come devo operare per il recupero dei prodotti?
ricerca_prodotti	Gastronomia
prescrizione_medica	avrei bisogno di un farmaco con prescrizione che faccio?
no_corrispondenza_prodotti	Non ho trovato in negozio i prodotti che avevo visto online
sconti_non_applicati	Non mi viene applicato lo sconto della spesa on line sull'applicazione perché?
controindicazioni	Come posso leggere il foglietto illustrativo di un farmaco?
promozioni	ultime promo
consegna_a_domicilio	Home delivery
vaccini_viaggi	in che paese si può prendere la febbre gialla
problema_sito	Non riesco a scaricare l'app crai
orari_negozi	a che ora apre segrate?
errore_pagamento	non mi fa finire il pagamento
info_registrazione	é necessario registrarsi?
info_per_farmacie	Sono titolare di una farmacia e vorrei sapere come aderire al vostro programma
carta_non_intestatario	Voglio registrarmi con la carta fedeltà di un'altra persona posso?
provenienza_spesa	Vorrei sapere da dove proviene la mia spesa
info_vetrina	Assortimento vetrina
vaccini_viaggi	Che vaccini che devo fare?
app	scaricare l'app
consegna_costo	Pago la consegna?
modifica_password	Modificami la password
ricerca_prodotti	Volevo sapere se avete bicchieri/tazze per bambini con nome
operatore	come inoltro un reclamo
info_malattie	Come si trasmette la febbre gialla?
modifica_preferiti	Non riesco a salvare i dati scritti
ricerca_prodotti	Questo prodotto è disponibile per l'acquisto immediato ?
ricerca_prodotti	Dash
sei_un_robot	sto parlando con un umano o un robot
logout_carrello	è possibile salvare un ordine e completarlo più tardi?
errore_schermata_indisponibile	Non posso accedere alla schermata
citta_consegna	Non riesco a trovare un negozio nelle vicinanze
problema_consegna	Non mi fa mettere l'indirizzo
privacy	come verranno utilizzati i dati sensibili?
cosa_cucino	Volevo consigli sul pranzo
insoddisfazione_ordine	Non sono molto soddisfatto dell'ordine con chi posso parlare?
modifica_dati_anagrafici	Non riesco a salvare i miei dati
promozioni	Promozioni del volantino?
medico_preferito	dove trovo la lista dei medici da aggiungere
volantino	Come scarico il volantino del mese?
consegna_spesa	Come avviene la consegna a casa?
problema_configurazione_app	Uwell è compatibile con honor
importo_pagato_diverso	Perché l'importo finale pagato potrebbe essere non uguale a quello indicato nella conferma d'ordine?
citta_consegna	Volevo sapere se consegnate a milano
codice_sconto	ho un buono sconto
tracking	Posso tracciare il mio ordine?
reso_consegna_domicilio	offrite il servizio di reso?
saldo_punti	Posso fare il saldo punti direttamente online?
email_conferma_registrazione	Richiedo email di conferma per la mia spesa online
prodotto_scaduto	Che faccio se ho ricevuto dei prodotti scaduti?
nome_utente	Ho scordato il nome utente col quale mi sono registrato
errore_conclusione_ordine	Ho problemi con la conferma dell'ordine
registrazione_senza_carta	Come faccio ad acquistare online senza carta
errore_aggiunta_familiare	come aggiungo mio figlio all'app
tipologie_ordine	Che tipologie di ordine offrite?
controindicazioni	Dove leggo gli effetti indesiderati?
prodotti_non_disponibili	Se faccio la spesa online è un prodotto che ho ordinato non è disponibile
errore_registrazione_app	Ho problemi di registrazione su applicazione
lista_preferiti	Posso salvare una lista della spesa?
consulto_medico	Il mio pene non vuole un erezione
catalogo_premi	Dove trovo il catalogo punti 2019?
cambiare_orario_consegna	ho inserito un orario di consegna ma voglio cambiarlo
estero	è possibile utilizzare il vostro servizio anche all'estero?
problema_consegna	La mia spesa è in ritardo
email_conferma_registrazione	Ho fatto la registrazione e aspetto la password via email ma non è arrivata ancora
modifica_ordine	come si elimina un prodotto dal carrello?
problema_accesso_app	Riscontro problemi di accesso all'app che posso fare ?
tracking	Posso tracciare l'ordine?
importo_pagato_diverso	Errore nel prezzo prodotti
problema_consegna	La spesa non mi è stata consegnata quando previsto
consegna_quantita	spesa online limiti di peso per la consegna ?
stile_di_vita	Info prodotti tailor usate sullo stile di vita?
tracking	Volevo sapere se il mio ordine è andato a buon fine
consegna_spesa	Come viene consegnata la spesa?
disponibilita_prodotti	Avrei bisogno di info sulla disponibilità di un prodotto
registrazione_utenti	Mi aiuti a sapere come utilizzare il vostro servizio?
problema_configurazione_app	La piattaforma è scaricabile su windows
errore_pagamento	Ho un errore col pagamento
errore_apertura_pagina	Come posso accedere alla pagina di conferma email?
consegna_spesa	Come consegnate
fare_spesa	Voglio selezionare i prodotti che mi servono
modalita_pagamento	Con cosa posso pagare?
senza_glutine	glutine
errore_pagamento	Cancellare carta di credito dai preferiti
info_per_farmacie	Info inserimento farmacia
contatti	come contattare i punti di vendita a Catania
new_covid_19	Mi puoi dire quali sono i sintomi del coronavirus?
lista_farmaci_consegna_a_domicilio	posso ricevere farmaci a casa?
problema_consegna	Ho effettuato un ordine e non e' arrivato.
cambiare_orario_consegna	Posso modificare l'orario della consegna della spesa?
ordine_effettuare	È solo possibile la consegna a domicilio da un punto vendita vicino?
problema_accesso_app	non riesco ad accedere all'app
lista_farmaci_consegna_a_domicilio	Cerco delle mascherine
saldo_punti	dove vedo i punti sulla carta?
reso_prodotti	Ho ricevuto prodotti avariati. Vorrei contattare qualcuno per reclamare
registrazione_senza_email	Ci si può registrare senza avere l'email?
estero	Mi sai dire se posso utilizzare il vostro servizio anche all'estero?
consulto_medico	non mi sento bene
costo_servizio	è un servizio gratuito?
modalita_pagamento	paypal?
acquisto_senza_carta_piu	Volevo sapere se gli sconti sono validi anche per chi non possiede la carta
info_registrazione	noi ci siamo registrati cosa facciamo dopo?
prodotto_scaduto	La data di scadenza del prodotto non è stata controllata
cancellare_registrazione	è possibile cancellare la mia registrazione?
modalita_pagamento	Come pago la spesa?
errore_registrazione_app	Come impostare la data di nascita
ricetta	vorrei la ricetta della carbonara
prodotto_irreperibile	Non trovo il prodotto
consegna_piano	Consegnano al piano anche senza ascensore?
fattura	Come richiedo la fattura?
tracking	Vorrei informazioni su un ordine appena fatto
errore_generico_app	L'applicazione non funziona in modo corretto
problema_sito	quando prevedete che il sito sia disponibile
orari_negozi	orari del negozio
controindicazioni	controindicazioni farmaci
errore_generico_app	L'app non funziona
modalita_pagamento	Bancomat consegna
citta_consegna	Abito a Viterbo vorrei sapere se c'è un supermercato nei dintorni
consegna_costo	Info costi consegna?
modifica_dati_anagrafici	Come posso salvare i miei dati anagrafici?
sei_un_robot	con chi parlo?
collaborazioni	Vorrei sapere come posso collaborare con voi
servizio_di_consegna	a chi è a carico il servizio?
complimenti	che app meravigliosa
ticket	posso pagare la spesa tramite ticket?
errore_password	Come mai mi dice che la password è errata?
errore_password	password sbagliata perché?
consegna_premi	Come richiedo un premio online?
controindicazioni	Vorrei leggere le controindicazioni del farmaco
info_newsletter	Come mi iscrivo alla newsletter?
info_vetrina	Volevo info sulla vetrina
utente_bloccato	Ha bloccato mio figlio
prodotto_irreperibile	non riesco a trovare un prodotto
agenda_bloccata	Non riesco ad accedere all'agenda
tracking	è possibile tener traccia del mio ordine?
quando_punti	accredito punti spesa quando?
ecommerce	e-commerce?
errore_codice_fiscale	Mi dici come faccio ad inserire il codice fiscale ? Non riesco
modifica_password	Non riesco a modificare la password
logout_carrello	Stavo mettendo i dati per pagare e il carrello si è svuotato
prodotti_non_disponibili	I prodotti che ho ordinato non sono più disponibili?
problema_accesso_app	Ho problemi di accesso all'app
errore_password	non riesco a entrare nel mio crai...non ricordo che nome utente avevo inserito
errore_codice_fiscale	Il mio codice fiscale non lo legge perchè?
cambiare_email	dove si cambia l'email
